Сильный холод.|стужа
Острый выступ.|шпора
Медицинский инструмент в виде снабженного поршнем цилиндра с полой иглой, употребляемый для впрыскивания в организм лекарственных веществ, а также для отсасывания из полости жидкости.|шприц
Инструмент подобного устройства, используемый в пищевой промышленности.|шприц
Деревянная или картонная насадка, надеваемая на веретено для наматывания на нее пряжи.|шпуля
Продольный гребень на ребре доски или бруса, соответствующий пазу на ребре другой доски или другого бруса.|шпунт
Деревянная, металлическая или железобетонная свая, имеющая гребень и паз.|шпунт
Специальная пробка, которой закрывают еще не перебродившее вино в бочке (в виноделии).|шпунт
Инструмент в виде стального заостренного с одного конца стержня, употребляемый скульпторами для первичной обработки камня.|шпунт
Разновидность креветки.|шримс
Рисунок, начертание букв.|шрифт
Полный комплект типографских литер определенного рисунка, содержащий алфавит, знаки препинания, цифры, математические, химические и т.п. знаки.|шрифт
Ствол дерева от корня до кроны.|штамб
Чистая культура микроорганизмов, выделенная из одного источника - организма заболевшего животного или человека, из почвы, воды и т.п. - и используемая для изготовления вакцин и сывороток.|штамм
Форма с углублением или рельефным изображением текста, рисунка или украшения, служащая для тиснения на переплетной крышке (в полиграфии).|штамп
Вид печати - обычно прямоугольной - с выпуклым изображением названия учреждения, организации, адреса и т.п.|штамп
Одежда, покрывающая нижнюю часть туловища и ноги и имеющая две штанины.|штаны
Промежуточный продукт плавки руд цветных металлов (в металлургии).|штейн
Отсутствие ветра; безветрие (на море, озере и т.п.).|штиль
Крепежная деталь в виде небольшого цилиндрического или конического стержня.|штифт
Сильная буря (обычно на море, в воздухе).|шторм
Денежное взыскание как мера материального воздействия на лицо, виновное в нарушении действующего законодательства.|штраф
Горизонтальная подземная горная выработка, идущая по пласту полезного ископаемого и не имеющая непосредственного выхода на поверхность.|штрек
Короткая черта, линия (в рисунке, чертеже и т.п.).|штрих
Отдельный предмет из числа однородных, считаемых.|штука
Решительная атака войск на сильно укрепленные позиции или опорный пункт противника.|штурм
Цилиндрический стержень с коническим концом, на котором обычно вращается.|штырь
Гвоздь с зазубренным концом.|штырь
Игрок, использующий нечестные, мошеннические приемы в карточной игре.|шулер
Родной брат жены.|шурин
Восточное кушанье в виде супа из баранины с овощами (обычно с рисом и пряностями).|шурпа
Конический стержень с резьбой на конце и прорезью в головке для завинчивания его отверткой в деревянные, пластмассовые и т.п. изделия.|шуруп
Название верхней женской одежды (короткой - в виде кофты, телогрейки или длинной - в виде рубахи, сарафана).|шушун
Небольшие скалистые острова у сильно изрезанных, расчлененных морских берегов.|шхеры
Парусное деревянное судно с двумя и более мачтами.|шхуна
Детеныш собаки, лисы, волчицы и некоторых других животных.|щенок
Тонкая пластинка, отколотая по слою, по волокнам дерева.|щепка
Настой древесной золы или раствор поташа, соды, некоторых едких щелочей, применяющийся при стирке белья, мытья полов и т.п.|щелок
Приспособление для чистки, обметания в виде плоской колодки с часто насаженной на нее щетиной или другим, подобным щетине материалом.|щетка
Приспособление в динамо-машине для проводки тока от вращающихся частей к неподвижным (в электротехнике).|щетка
Совокупность кристаллов, плотно наросших на породу один к другому (в минералогии).|щетка
Верхняя грань в соединении двух скатов крыши (в архитектуре).|щипец
Верхняя часть стены треугольной формы, охватываемая двухскатной крышей.|щипец
Морда собаки, волка и т.п. (в речи охотников).|щипец
Инструмент в виде двух скрепленных на шарнире стержней, предназначенный для сжимания, раскалывания, захватывания.|щипцы
Подвижная часть ружейного, пулеметного и т.п. прицела, служащая для установки прицела на дистанции.|щитик
Насекомое отряда хоботных; древесный или лесной клещ.|щитик
Беспозвоночные членистоногие ракообразные, имеющие щит спереди и два нитевидных придатка на хвосте.|щитни
Твердая пластинка у оснований крыльев жука (в зоологии).|щиток
Соцветие, в котором все цветки расположены в одной плоскости (в ботанике).|щиток
Приспособление, защищающее отдельные части тела игрока от ушибов, ударов при игре в футбол, хоккей и т.п.|щиток
Железная маска, защищающая лицо от пламени, искр (обычно при сварке).|щиток
Членистый придаток у ротовой полости насекомых, ракообразных, многоножек, наделенный различными органами чувств (в биологии).|щупик
Небольшая птица яркой и пестрой окраски.|щурка
Многолетнее травянистое растение семейства злаков, растущее на лугах и по берегам рек.|щучка
Народность, родственная эвенкам и живущая на побережье Охотского моря и в северных районах Якутии.|эвены
Название щита Зевса, Афины, реже - Аполлона (в древнегреческой мифологии).|эгида
Программа деятельности магистратов в Древнем Риме, объявляемая ими при вступлении в должность.|эдикт
Важный указ верховной власти в различных государствах.|эдикт
Растение или животное, не свойственное определенной местности, ввезенное (обычно из субтропиков или тропиков).|экзот
Пирожное из заварного теста, начиненное кремом.|эклер
Щит, предохраняющий человека, электрический прибор, установку от вредного воздействия электромагнитного поля, света, излучения и т.п.|экран
Натянутая на раму ткань или пленка из пластмассы, покрытая специальным веществом, на поверхность которой проецируется кино-, фото-, телевизионное или рентгеновское изображение.|экран
Отборные, лучшие семена, растения или животные, полученные в результате селекции и предназначенные для дальнейшего размножения или разведения.|элита
Непрозрачная стекловидная масса, служащая для покрытия металлических предметов с целью предохранения их от окисления.|эмаль
Поверхность из непрозрачной стекловидной массы.|эмаль
Густая краска, растертая со специальными лаками, дающая после высыхания ровную и стойкую окраску предмета.|эмаль
Глазурь для покрытия художественных изделий.|эмаль
Видоизмененная эпителиальная ткань, твердая и блестящая, покрывающая наружную часть зуба.|эмаль
Камень с острыми режущими краями, напоминающий древнейшие орудия первобытного человека (в геологии).|эолит
Совокупность эпических произведений.|эпика
Неплотная хлопчатобумажная или шелковая ткань, имеющая шероховатую губчатую поверхность.|эпонж
Длительный промежуток времени, выделяемый по характерным особенностям и характеризующийся выдающимися событиями или явлениями.|эпоха
Подразделение геологического периода (в геологии).|эпоха
Момент, с которого начинается исчисление движения небесного тела (в астрономии).|эпоха
Неполноценный заменитель суррогат.|эрзац
Часть комнаты, помещения, выступающая за пределы наружной стены здания в виде полукруглого или многогранного застекленного объема; фонарь (в архитектуре).|эркер
Предварительный набросок к рисунку, картине.|эскиз
Рисунок, по которому создается (театральный костюм, декорация, архитектурное произведение и т.п.).|эскиз
Поклонник всего изящного, прекрасного.|эстет
Философское учение о морали, ее принципах, развитии и роли в обществе.|этика
Совокупность норм поведения, мораль общественной группы, организации и т.п.|этика
Общее название национальных образований: нации, народности и т.п.|этнос
Ископаемое твердое горючее вещество органического происхождения.|уголь
Кусок обгоревшего дерева.|уголь
Материал для рисования, изготовленный из подвергшихся обжигу тонких веток дерева.|уголь
Личинка овода, выходящая из яичек, которые откладываются оводом в коже животных.|угорь
Крупная рыба со змеевидным телом.|угорь
Жировая сальная пробка в порах кожи, образующая небольшой бугорок.|угорь
Безудержная смелость в сочетании с бойкостью, ухарством.|удаль
Толчкообразные колебания (сердца, пульса).|удары
Такой исход дела, который нужен, желателен; успех.|удача
Творческая находка.|удача
Прикрепляемое к ремням узды железо, состоящее из двух звеньев, вкладываемых в рот лошади при взнуздывании.|удила
Тяжелые, губительные по своим последствиям события, факты.|ужасы
Установленный или установившийся порядок в организации устройство.|уклад
Характерные особенности психики.|уклад
Однолетнее огородное растение семейства зонтичных с пряным запахом, употребляемое как приправа к пище.|укроп
Вид легкой кавалерии, первоначально вооруженной пиками и саблями (в армии Российского государства до 1917 г. и некоторых других государств).|уланы
Мусульманские богословы и правоведы в странах распространения ислама.|улемы
Пространство между двумя параллельными рядами домов в населенных пунктах для прохода и проезда.|улица
Древнее восточно-славянское племя, жившее в Нижнем Поднепровье, Побужье и на берегах Черного моря.|уличи
Самоназвание ороков, проживающих в восточной и частично южной части острова Сахалин.|ульта
Народность тунгусо-маньчжурской языковой группы, живущая в районе нижнего Амура.|ульчи
Темно-коричневая минеральная краска, состоящая из глинистых минералов с примесью окислов и гидроокислов железа и марганца.|умбра
Одно из италийских племен, населявшее в древности Среднюю Италию.|умбры
Союз, объединение.|унион
Постромки передней пары лошадей (при упряжке четверней).|уносы
Единица веса в Великобритании, равная 28,35 г.|унция
Название разных единиц веса, распространенное в ряде европейских государств до введения метрической системы.|унция
Старинная золотая монета, существовавшая в ряде государств.|унция
Высказанное или обращенное к неодобрение, неудовольствие, обвинение.|упрек
Крупная летучая мышь.|упырь
Пост у мусульман в течение месяца рамазан, во время которого запрещено есть и пить от утренней до вечерней звезды.|ураза
Частные занятия.|уроки
Тонкие, членистые придатки на голове членистоногих, являющиеся органами обоняния и осязания.|усики
Удача в деле, удачное достижение поставленной цели.|успех
Внимание общества к признание заслуг.|успех
Написанный свод, собрание правил, положений, определяющих устройство и деятельность организации.|устав
Один из типов письма, почерк древних греческих, и славяно-русских рукописей, отличающийся прямыми, четкими, с ровным нажимом и тщательно начертанными буквами.|устав
Береговая опора гидротехнического сооружения.|устой
Часть отступающая от основной, прямой линии и образующая выступ, ступень, углубление, выемку.|уступ
Часть забоя, в которой самостоятельно производится выработка.|уступ
Место впадения реки в море, озеро и т.п.|устье
Удовольствие, наслаждение, забава.|утеха
Использованные предметы, отходы, негодные к употреблению, но используемые в качестве сырья.|утиль
Длинная палка с металлической вилкой на конце, которой захватывают и ставят в русскую печь горшки, чугуны.|ухват
Металлическая вилка для прикрепления водосточных труб к стене.|ухват
Старинная плоскодонная лодка с парусом и веслами.|ушкуй
Убыток, урон, потеря.|ущерб
Вид, положение, при котором луна кажется уменьшающейся.|ущерб
Название кисломолочного продукта из коровьего молока (в Болгарии).|югурт
Уроженцы, жители Юга (южной части местности, страны с жарким климатом.|южане
Вяленая рыба, заготовляемая впрок жителями Севера и Дальнего Востока.|юкола
Герои южнославянского эпоса, прославляющие борьбу против турецкого владычества.|юнаки
Участник спортивных соревнований в одной из юношеских групп (обычно в возрасте от 19 до 22 лет).|юниор
Нижний чин - рядовой или унтер-офицер - из дворян.|юнкер
Дворянин-землевладелец; помещик (в феодальной и постфеодальной Германии).|юнкер
Юный корреспондент.|юнкор
Участник кружка по изучению природы; юный натуралист.|юннат
Человек мужского пола в возрасте, переходном от отрочества к зрелости.|юноша
Специалист с юридическим образованием; правовед.|юрист
Практический деятель в области права.|юрист
Лишайник, служащий основной пищей для северных оленей зимой.|ягель
Небольшой сочный плод кустарниковых или травянистых растений.|ягода
Крупное хищное животное семейства кошачьих с короткой красновато-желтой пятнистой шерстью, обитающее в Южной Америке и Мексике.|ягуар
Парная мужская половая железа, вырабатывающая сперматозоиды и помещающаяся в мошонке (в анатомии).|яичко
Приспособление для удержания на месте судов, плавучих маяков и т.п. в виде прикрепленного к длинной цепи металлического стержня с лапами, зацепляющимися за грунт.|якорь
Вращающаяся часть в электрических машинах и турбинах, несущая на себе обмотку; ротор.|якорь
Народ тюркской группы, составляющий основное население Якутии.|якуты
Возница на почтовых, ямских лошадях.|ямщик
Кучер, возница.|ямщик
Листок на товаре с указанием его наименования, веса, количества и т.п.|ярлык
Низший полицейский служитель (в Московском государстве XVI-XVII вв.).|ярыга
Дерево семейства маслинных с перистыми листьями и плотной древесиной, идущей на различные изделия.|ясень
Икра в пленке, вынутая из рыбы.|ястык
Старинное название рубина, сапфира и некоторых других драгоценных камней.|яхонт
Часть светильника, обычно в виде колпака, предназначенная для сосредоточения и отражения света и защиты глаз от его воздействия.|абажур
Настойка на полыни или мяте.|абсент
Нелепость, бессмыслица.|абсурд
Болезненное безволие, полное отсутствие желаний, стремлений к деятельности.|абулия
Повреждение, поломка механизма, машины, детали и т.п. во время работы или движения.|авария
Народ нахско-дагестанской этноязыковой группы, составляющий - наряду с лезгинами, даргинцами и т.п. - коренное население Дагестана.|аварцы
Название восьмого месяца календарного года.|август
Богиня утренней зари (в древнеримской мифологии).|аврора
Безбрачие.|агамия
Отсутствие пола (в биологии).|агамия
Все члены семьи, происходящие по мужской линии от одного родоначальника, а также вошедшие в семью в результате брака или усыновления (в праве древних римлян).|агнаты
Кровные родственники-мужчины, связанные происхождением по мужской линии (в праве древних германских народов).|агнаты
Состояние, предшествующее наступлению смерти.|агония
Острая ароматная приправа к мясным и рыбным блюдам.|аджика
Однолетнее или многолетнее травянистое растение семейства лютиковых с крупными желтыми цветами.|адонис
Настой из цветов и листьев горицвета, применяемый для лечения сердечно-сосудистых заболеваний.|адонис
Минерал, прозрачная или полупрозрачная бесцветная разновидность калиевого полевого шпата; лунный камень.|адуляр
Декоративное кустарниковое растение с крупными воронкообразными цветками различной окраски.|азалия
Совокупность букв, используемых в системе письма, построенного на основе славянских букв; алфавит.|азбука
Книга, таблица и т.п., используемая при обучении грамоте.|азбука
Система условных знаков, служащая для передачи, изображения.|азбука
Угол между плоскостью меридиана точки наблюдения и вертикальной плоскостью, проходящей через данную точку и светило, измеренный по горизонту (в астрономии и геодезии).|азимут
Угол, образуемый заданным направлением движения и направлением на север.|азимут
Минерал синего цвета - водосодержащий карбонат меди, используемый для изготовления синей краски, получения медного купороса, выплавки меди; медная лазурь.|азурит
Высокое быстрорастущее дерево с непарноперистыми листьями и мелкими цветками, собранными в метельчатые соцветия.|айлант
Произношение в предударных слогах вместо звука [о] звука [а] или звука, близкого к [а], свойственное русскому литературному языку, южнорусским говорам и белорусскому языку.|акание
Болезнь растений, животных или человека, вызываемая клещами.|акароз
Тропическое и субтропическое растение семейства мимозовых, некоторые виды которого имеют ценную древесину.|акация
Сочетание нескольких звуков различной высоты, воспринимаемое слухом как звуковое единство.|аккорд
Ядовитое травянистое растение семейства лютиковых с синими, фиолетовыми или желтыми цветками, некоторые виды которого используются в медицине.|аконит
Саранчовое насекомое.|акрида
Ударение (в лингвистике).|акцент
Выделение звука или аккорда путем его усиления (в музыке).|акцент
Особый характер произношения, проявляющийся в отступлении от языковой нормы и свойственный носителям языка или диалекта, говорящим не на родном языке.|акцент
Согласие заключить договор на предложенных условиях (в правоведении).|акцепт
Одна из основных форм безналичного расчета между организациями (в экономике).|акцепт
Согласие на оплату денежных документов - платежных требований, счетов, векселей и т.п. - через банк.|акцепт
Народ эскимосо-алеутской этноязыковой семьи, населяющий Алеутские и Командорские острова.|алеуты
Алый цвет.|алость
Место жертвоприношений; жертвенник (у древних народов).|алтарь
Главная, восточная часть христианского храма, отделенная алтарной преградой, а в православных храмах - иконостасом.|алтарь
Минерал, используемый для получения квасцов, глинозема и т.п.|алунит
Переплетенные в виде книги или тетради чистые листы, предназначенные для рисования, записи стихотворений, для хранения коллекций марок, открыток и т.п.|альбом
Объединенные темой репродукции, чертежи, фотографии и т.п. (обычно с пояснительным текстом), изданные в виде книги.|альбом
Комплект из двух и более пластинок.|альбом
Ниша в стене для кровати или дивана, отгороженная от основной части комнаты занавесом, аркой или колоннами.|альков
Объединение, союз государств, политических партий на основе договорных обязательств.|альянс
Бесцветный газ с резким запахом, представляющий собою соединение азота с водородом.|аммиак
Герметически запаянный стеклянный сосуд с узким горлышком, предназначенный для хранения лекарственных препаратов в стерильном состоянии.|ампула
Небольшой предмет, обычно носимый на теле человека и - по суеверным представлениям - являющийся магическим средством против болезней, несчастий и т.п.|амулет
Большой сосуд с узким горлом и двумя ручками, предназначенный для хранения вина, масла и т.п. (использовавшийся в Древней Греции, Древнем Риме и на Руси X-XII вв.).|амфора
Метод научного исследования действительности, состоящий в расчленении целого на составные элементы.|анализ
Определение состава и свойств вещества путем разложения его на более простые элементы.|анализ
Детальное, всестороннее изучение, рассмотрение факта, явления, события.|анализ
Тропическое травянистое растение семейства бромелиевых с крупными, овальной формы, сочными, ароматными плодами, похожими на шишку.|ананас
Острое инфекционное заболевание, характеризующееся воспалением зева и небных миндалин.|ангина
Бальный танец, восходящий к английским народным танцам и распространенный в Европе XVII-XIX вв.|англез
Болезненное состояние, характеризующееся снижением содержания гемоглобина в крови, а также уменьшением общей массы крови в организме; малокровие.|анемия
Бесцветная ядовитая жидкость, используемая при изготовлении красителей, фармацевтических препаратов, взрывчатых веществ и т.п.|анилин
Опросный лист для получения сведений, составленный по определенной форме.|анкета
Территория или часть территории государства, со всех сторон окруженная территорией другого государства и не имеющая морского берега (в международном праве).|анклав
Запись событий в хронологической последовательности (у древних народов - римлян, египтян и т.п. и в Западной Европе в средние века); летопись.|анналы
Автор сочинения, письма и т.п., скрывший свое имя.|аноним
Заболевание, характеризующееся прекращением выделения мочи.|анурия
Мелкая морская рыба отряда сельдеобразных; хамса.|анчоус
Объявление о том, что все билеты - на спектакль, концерт, лекцию и т.п. - проданы.|аншлаг
Политика насильственного присоединения Австрии к Германии, проводившаяся германским империализмом после первой мировой войны.|аншлюс
Форма прошедшего времени глагола в некоторых языках (греческом, старославянском и т.п.), обозначающая единое, нерасчлененное действие или состояние, целиком отнесенное к прошлому (в лингвистике).|аорист
Минерал - фосфат кальция, обычно используемый для производства фосфорных удобрений.|апатит
Состояние глубокого безразличия, равнодушия.|апатия
Лекарственный препарат из высушенного маточного молочка пчел, применяемый при лечении невротических расстройств.|апилак
Чрезмерная самоуверенность.|апломб
Точка орбиты Луны или искусственного спутника Земли, наиболее удаленная от центра Земли.|апогей
Краткое иносказательное нравоучительное повествование из жизни животных, близкое к басне.|аполог
Состав из крахмала, эфира, синтетических смол и других веществ, которым обрабатываются текстильные материалы для придания им жесткости, безусадочности, несминаемости.|аппрет
Название четвертого месяца календарного года.|апрель
Полукруглый, прямоугольный или многогранный выступ здания (обычно алтарной части храма), имеющий собственное перекрытие в виде полукупола или полусвода (в архитектуре).|апсида
Учреждение, занимающееся продажей готовых лекарственных препаратов и других медицинских товаров, а также изготовлением лекарств по рецептам врача.|аптека
Небольшое дерево, кустарниковое или многолетнее травянистое растение семейства аралиевых с цветками, обычно собранными в зонтики или метелки, произрастающее в Южной и Восточной Азии, на Дальнем Востоке, юге Северной Америки.|аралия
Древние семитские племена, выходцы из Аравии.|арамеи
Южное травянистое растение семейства бобовых с плодами, содержащими маслянистые вещества.|арахис
Предоставление одним государством другому права пользования частью своей территории на основе договора (в международном праве).|аренда
Наем помещения, имущества во временное пользование на договорных началах.|аренда
Представители, с точки зрения расистов, арийской - нордической - расы.|арийцы
Ряд одинаковых по форме арок, опирающихся на столбы или колонны.|аркада
Большое число собранных в одном районе или одновременно действующих кораблей, самолетов или танков.|армада
Высокое травянистое растение семейства сложноцветных, используемое в фармакологии.|арника
Приятный запах, благоухание.|аромат
Группа лиц одной профессии (обычно связанной с физическим трудом), объединившихся для совместной работы на основе общей ответственности, самоуправления, долевого участия в доходах.|артель
Профессиональный исполнитель произведений искусства (актер, певец, музыкант и т.п.).|артист
Воспаление сустава или некоторых его элементов.|артрит
Хроническое заболевание суставов, связанное с нарушением обмена веществ и сопровождающееся изменениями в сочленяющихся поверхностях костей и деформацией суставов.|артроз
Высшее должностное лицо в городах-государствах Древней Греции.|архонт
Волокнистый минерал, обладающий огнестойкостью, кислотоупорностью, теплоизолирующими и электроизолирующими свойствами, широко применяемый в различных отраслях промышленности.|асбест
Точка зрения, с которой рассматриваются предметы, явления, понятия и т.п.|аспект
Определенная сторона явления, понятия и т.п.|аспект
Семейство ядовитых змей, к которому относятся кобра, ехидна и т.п.|аспиды
Высший начальник казачьего войска.|атаман
Система взглядов и убеждений, отрицающая существование Бога и отвергающая всякую религию.|атеизм
Титан, держащий на своих плечах небесный свод (в древнегреческой мифологии).|атлант
Вертикальная опора в виде мужской фигуры, поддерживающая перекрытие здания, портика и т.п. (в архитектуре).|атлант
Первый шейный позвонок, сочленяющийся с черепом (у человека и высших позвоночных).|атлант
Вялость, ослабление тонуса мышц.|атония
Наиболее удаленная от Солнца точка орбиты небесного тела, вращающегося вокруг Солнца (в астрономии).|афелий
Второй по величине - после Евразии - материк Земли как одна из пяти частей света.|африка
Кратковременное состояние сильного эмоционального переживания - ужаса, ярости, отчаяния, обычно сопровождающееся потерей контроля над своими действиями.|аффект
Часть слова, противопоставленная корню и выражающая определенное значение (в лингвистике).|аффикс
Соль и эфир уксусной кислоты (в химии).|ацетат
Бесцветная горючая жидкость с резким запахом, используемая обычно как растворитель органических веществ.|ацетон
Индейский народ в Мексике, относящийся к ацтеко-таноанской этноязыковой семье, создавший высокую цивилизацию до завоевания испанцами.|ацтеки
Сплав на основе олова или свинца, применяемый при изготовлении подшипников.|баббит
Обезьяна рода павианов.|бабуин
Мягкие туфли без задников (обычно на Востоке).|бабуши
Старинная шелковая ткань багрового цвета.|багрец
Вечнозеленое дерево или кустарник семейства иллициевых; анис звездчатый.|бадьян
Травянистое растение семейства рутовых; ясенец.|бадьян
Ручной гранатомет.|базука
Степной грызун рода сурков, осень и зиму проводящий в спячке.|байбак
